,Weeks on Chart,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Debut Position,LyricPositive,LyricNeutral,LyricNegative,TweetPositive,TweetNeutral,TweetNegative,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 0,Classification
1195,3,FALSE,211240,76,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,4,69,6,88,4,20,78,1,0.014539123,0,0,0,0.112513416,0.13518703,0.540949941,0.184607908,0,0,4
1196,3,FALSE,188490,66,0.748,0.627,7,-6.029,1,0.0644,0.131,0,0.0852,0.524,120.963,4,66,6,92,1,0,100,0,0.122478075,0,0,0,0,0,0.216105878,0.651951671,0,0,6
1197,3,TRUE,161989,65,0.76,0.476,8,-8.103,1,0.241,0.294,0,0.1,0.354,147.01,4,67,3,89,7,0,100,0,0.200307906,0.16760312,0,0,0,0.624475002,0,0,0,0,5
1198,3,TRUE,211908,64,0.696,0.801,5,-5.641,0,0.0952,0.0469,0,0.502,0.536,93.003,4,70,3,85,10,1,98,0,0.063560121,0.010619236,0,0,0,0.151912063,0.045034833,0,0.725274384,0,5
1199,3,TRUE,192182,71,0.693,0.652,5,-8.766,1,0.299,0.25,0,0.0294,0.77,87.986,4,95,6,66,27,4,69,26,0,0.733250797,0,0,0,0.157241642,0,0,0.10308139,0,6
1200,3,FALSE,212906,57,0.686,0.766,4,-4.829,0,0.0417,0.0995,0,0.0731,0.352,101.984,4,96,6,87,6,9,90,0,0,0,0,0,0,0,0.97499156,0,0,0,6
1201,3,FALSE,184386,52,0.59,0.887,1,-2.634,1,0.0353,0.0504,0,0.132,0.679,120.061,4,96,0,97,2,36,47,16,0.257602006,0,0,0,0,0.729490101,0,0,0,0,6
1202,3,TRUE,334253,70,0.695,0.777,6,-2.452,0,0.0817,0.0661,0,0.874,0.36,135.01,4,71,4,82,12,0,100,0,0,0.815071344,0,0,0,0,0,0,0.181896403,0,5
1203,3,TRUE,233039,74,0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,4,73,6,82,10,1,78,19,0,0.185360759,0.097899713,0,0,0,0,0.415466964,0.296857953,0,5
1204,3,TRUE,216893,76,0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,4,22,22,70,7,10,86,3,0,0,0,0,0,0,0,0.952598333,0,0,3
1205,3,TRUE,361280,72,0.604,0.436,2,-8.32,1,0.188,0.0544,0.000242,0.162,0.239,107.978,4,65,4,90,5,0,100,0,0.055277057,0.227070406,0,0.542961657,0,0.169926077,0,0,0,0,5
1206,3,FALSE,190360,80,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4,23,2,75,22,13,77,8,0,0.20948866,0.775117755,0,0,0,0,0,0,0,3
1207,3,TRUE,260440,68,0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89E-06,0.11,0.324,138.011,4,18,6,87,6,50,50,0,0.043020014,0.892258346,0,0,0,0,0.058353178,0,0,0,3
1208,3,TRUE,190411,68,0.655,0.835,1,-3.451,1,0.059,0.0459,0,0.409,0.165,91.035,4,39,5,78,15,0,100,0,0,0,0,0.049452573,0,0.843448281,0.026497619,0,0.07542567,0,4
1209,3,TRUE,191840,88,0.594,0.798,4,-5.244,1,0.0844,0.115,0,0.143,0.381,142.049,4,65,0,89,10,6,81,11,0,0,0,0,0,0.09362416,0.202229902,0,0.694681883,0,3
